,daya_baterai,px_panjang,px_lebar,berat_hp,tebal_hp,kapasitas_ram,jumlah_prosesor,price_range,bluetooth_0,bluetooth_1
254,675,482,874,187,0.6,2953,7,2,1,0
258,503,1495,1688,131,0.7,3117,1,3,0,1
259,1726,1221,1804,106,0.6,1868,5,2,0,1
260,1826,973,1633,172,0.6,1612,8,2,0,1
263,959,87,736,155,0.4,3328,4,2,0,1
265,1261,858,1591,90,0.2,348,4,0,0,1
266,1424,1399,1663,80,0.6,1053,4,1,1,0
267,641,417,759,192,0.9,3595,1,2,0,1
269,645,327,580,197,1.0,2962,7,2,1,0
270,907,144,896,160,0.2,3911,3,3,0,1
271,1225,840,982,155,0.1,1970,5,1,0,1
279,1128,938,1226,147,0.6,1440,8,1,0,1
281,697,478,1477,173,0.4,259,2,0,1,0
283,1414,294,1233,168,0.8,1069,2,0,1,0
286,696,649,907,197,0.3,2630,3,1,1,0
289,1273,490,886,99,0.4,1767,4,1,1,0
291,1807,1734,1968,134,0.1,3726,6,3,0,1
292,781,368,607,88,0.2,3862,2,3,0,1
293,1713,237,890,104,0.9,971,7,0,1,0
295,1861,1698,1877,148,0.5,601,7,1,0,1
296,1677,271,1477,124,0.7,3771,6,3,1,0
300,1652,352,1084,198,1.0,3592,7,3,1,0
302,1766,291,1318,122,0.8,3297,8,3,0,1
304,774,1480,1731,188,0.5,2944,2,2,1,0
305,713,103,1760,89,0.7,2082,2,1,1,0
307,554,85,806,105,0.1,3764,6,2,0,1
310,511,149,1285,125,0.9,3265,8,2,0,1
311,1333,394,1301,183,0.7,3442,7,3,1,0
312,1314,82,512,87,1.0,3411,4,3,0,1
314,1608,1013,1158,183,0.4,489,2,0,1,0
315,569,388,605,124,0.3,2651,1,1,0,1
316,520,264,519,145,0.8,2753,6,1,1,0
317,1067,494,1989,122,0.6,604,8,0,0,1
318,1310,954,970,150,0.2,2518,5,2,1,0
319,1526,718,751,117,0.2,2227,7,2,1,0
322,1597,64,1667,89,0.4,934,1,0,1,0
323,1778,88,516,132,1.0,1624,4,1,1,0
324,805,81,1544,168,0.9,3397,3,2,0,1
325,915,532,1448,187,0.6,905,8,0,1,0
327,1744,621,1558,158,0.7,345,1,0,1,0
328,1843,118,580,134,0.7,3213,6,3,0,1
331,1154,1003,1827,159,0.8,3262,5,3,1,0
336,1753,387,1595,113,0.9,1445,7,1,1,0
338,1171,248,755,167,0.3,263,7,0,0,1
341,1494,449,790,158,0.8,3208,5,3,1,0
342,802,527,734,153,0.6,3063,5,2,1,0
344,1221,1895,1976,139,0.5,2438,1,3,1,0
346,1948,631,1940,100,0.1,3630,5,3,1,0
348,980,1008,1758,160,0.9,2268,6,2,0,1
352,797,206,1167,144,0.9,2216,7,1,1,0
353,1517,570,1645,169,0.8,2738,4,2,1,0
354,1039,62,544,136,0.1,3212,6,2,1,0
357,718,662,997,93,0.4,1601,3,1,0,1
362,1001,922,1836,117,0.2,3654,3,3,1,0
363,1694,1194,1208,186,1.0,1653,6,2,1,0
364,1720,334,896,188,0.8,2522,5,2,1,0
365,1897,1311,1935,192,0.5,273,8,0,1,0
367,1056,914,979,101,0.7,2651,3,2,0,1
371,674,750,772,93,0.2,589,3,0,0,1
375,1793,1086,1418,169,0.5,3533,6,3,1,0
376,1205,321,1870,163,0.1,953,6,0,0,1
377,1283,510,980,93,1.0,773,3,0,0,1
378,640,710,1179,163,0.1,2844,4,2,1,0
379,1620,434,1339,186,0.9,1086,6,1,1,0
380,1968,861,1259,115,0.8,2323,3,2,1,0
382,1702,1397,1491,145,0.5,2501,2,3,0,1
383,1366,402,964,150,0.1,3501,2,3,0,1
385,596,885,1854,111,0.8,3238,8,3,1,0
387,1763,138,806,101,0.2,2066,4,1,1,0
389,1156,1214,1262,89,0.1,1796,7,1,1,0
391,713,123,1477,98,0.8,1462,1,0,1,0
392,1992,649,895,141,0.1,3206,1,3,0,1
393,1522,533,1696,162,0.7,3767,6,3,1,0
400,673,1096,1570,142,0.4,3541,6,3,0,1
402,1658,51,739,159,0.3,2609,5,2,0,1
404,1501,198,1056,187,0.2,2487,1,2,1,0
405,936,657,938,129,0.2,2049,2,1,0,1
411,659,1054,1929,110,0.5,2044,3,1,1,0
413,504,767,1665,166,0.1,701,1,0,0,1
415,894,104,541,130,0.2,2829,3,2,1,0
417,1650,773,881,89,0.7,324,1,0,1,0
418,1391,14,1256,182,0.8,3139,1,2,1,0
420,879,463,1038,187,0.8,2927,4,2,1,0
421,1871,275,1966,144,0.4,2727,8,3,1,0
422,1320,103,1583,168,0.2,2893,5,2,1,0
423,1068,322,875,197,0.9,1209,8,0,1,0
425,891,40,1435,153,0.1,1303,6,0,1,0
427,1794,43,627,86,0.5,402,7,0,0,1
429,1448,570,1724,138,0.8,3378,7,3,0,1
431,1143,1116,1724,125,1.0,1214,3,1,1,0
434,1362,553,1505,131,0.8,995,7,0,1,0
435,852,683,1349,160,0.8,315,5,0,1,0
436,1846,83,773,159,0.7,1333,1,1,0,1
440,831,511,621,177,0.7,1704,5,0,1,0
446,1361,881,1382,169,1.0,2495,5,2,0,1
447,1783,910,1566,183,0.6,1816,8,2,0,1
448,912,329,1053,161,0.3,2330,8,1,0,1
449,1433,420,784,129,0.1,2132,5,1,0,1
450,999,20,745,167,0.1,1344,4,0,0,1
452,765,1277,1429,115,0.3,2243,8,2,1,0
455,1089,636,1259,145,0.7,2765,5,2,0,1
456,1994,86,1546,189,0.4,1836,2,2,0,1
458,1177,945,1923,181,1.0,1887,4,1,1,0
461,1583,942,1651,148,0.7,1704,7,2,0,1
462,1549,721,1514,158,0.4,1998,5,2,0,1
463,1483,531,758,176,0.2,1851,7,1,1,0
464,1250,11,1020,167,0.4,3314,5,2,0,1
465,1878,210,1026,85,0.6,1334,8,1,0,1
466,712,1245,1309,86,0.5,2001,2,1,1,0
467,1960,205,1299,86,0.3,3865,7,3,0,1
472,906,1102,1793,136,0.1,3412,2,3,1,0
473,612,1294,1337,181,0.6,3169,5,2,0,1
476,818,111,510,177,0.9,546,6,0,1,0
481,775,862,1864,159,0.7,568,2,0,1,0
488,1485,371,1023,158,0.8,3241,5,3,0,1
493,1998,50,1356,196,0.6,2311,8,2,0,1
494,1558,322,1385,114,0.1,878,5,0,0,1
495,986,471,800,183,0.8,2385,8,1,0,1
496,694,983,1230,193,0.4,3676,4,3,0,1
499,1413,1039,1318,185,0.1,3878,5,3,1,0
500,1939,320,520,199,0.6,1047,4,0,0,1
501,667,1015,1947,185,0.8,2528,1,2,1,0
503,1892,1399,1564,110,0.4,2172,4,2,0,1
504,1836,168,1068,104,0.7,2469,5,2,1,0
506,1883,203,915,87,0.1,3563,1,3,1,0
507,1199,1168,1552,116,0.2,3448,4,3,0,1
508,555,956,1010,163,0.2,343,5,0,0,1
509,1036,373,926,119,0.2,2101,7,1,0,1
510,517,660,974,183,0.8,3704,4,3,1,0
511,1885,1406,1517,92,0.6,1277,4,1,1,0
513,1068,1405,1910,124,0.5,550,4,0,1,0
516,1800,191,1108,87,0.3,656,1,0,0,1
517,877,1064,1985,195,0.1,2004,7,1,1,0
518,635,300,1059,149,0.4,2973,3,2,0,1
520,1702,921,1351,185,0.6,435,6,0,0,1
521,1011,481,749,131,0.2,2261,7,1,1,0
523,808,119,529,105,0.5,1082,8,0,0,1
525,512,249,1849,83,0.9,2610,3,2,0,1
526,643,314,1400,156,0.8,2096,1,1,0,1
527,1896,447,794,141,0.4,3684,2,3,1,0
528,501,504,1089,131,0.3,2346,4,1,1,0
529,560,80,1327,81,0.3,2167,3,1,0,1
531,558,997,1605,142,0.8,392,5,0,0,1
534,1445,527,1393,82,0.4,3480,2,3,1,0
535,1489,172,812,200,0.6,776,1,0,1,0
538,1065,760,1722,158,0.1,1193,5,1,1,0
540,550,486,1930,145,0.1,302,2,0,0,1
542,1760,1382,1383,127,0.8,2053,8,2,1,0
543,1776,1563,1803,82,0.9,2671,6,3,1,0
544,1902,1142,1393,124,0.8,343,8,0,1,0
545,1595,1024,1838,85,0.7,3881,4,3,0,1
546,730,1371,1677,122,0.7,2787,4,2,1,0
547,1097,405,519,181,0.8,509,1,0,1,0
548,686,1109,1392,91,0.3,570,6,0,0,1
550,763,273,1278,104,0.3,2865,5,2,0,1
552,1665,1572,1684,194,0.2,1601,6,2,0,1
553,1936,570,1021,139,0.1,1400,3,1,1,0
556,1230,1920,1963,111,0.7,1622,7,2,0,1
557,557,1131,1315,125,0.5,1305,3,0,0,1
559,999,1397,1616,199,0.2,2593,4,2,1,0
565,668,666,1203,155,0.1,2746,5,2,1,0
567,1189,379,932,198,0.5,893,3,0,0,1
568,1110,1179,1262,192,0.9,456,5,0,1,0
569,1627,52,1082,180,0.1,3206,6,3,1,0
571,1136,1307,1767,150,0.9,2110,6,2,1,0
574,1751,1499,1952,146,0.6,1155,8,1,1,0
576,1828,336,898,199,0.9,2280,1,2,0,1
580,696,533,797,103,0.2,2022,3,1,0,1
583,584,1123,1622,168,0.3,465,3,0,0,1
585,1331,1109,1226,165,0.5,1026,2,1,0,1
588,1715,1224,1676,94,0.3,1633,8,2,1,0
589,964,225,1234,86,0.7,2577,8,2,1,0
590,1375,227,772,194,0.1,1947,2,1,1,0
591,1135,690,1589,158,0.4,3204,1,3,0,1
592,1029,264,956,171,0.2,582,5,0,0,1
593,1928,229,1004,162,0.8,696,5,0,1,0
594,605,329,656,162,0.9,2301,2,1,1,0
598,1809,639,721,174,0.1,2324,3,2,0,1
601,1562,678,1676,172,0.8,3465,8,3,1,0
603,628,1047,1534,87,0.2,1337,6,1,0,1
604,1905,849,898,151,0.5,1545,1,1,0,1
605,1694,377,549,102,0.3,2298,7,2,0,1
608,1944,634,1079,132,0.2,769,7,0,1,0
609,1538,567,986,121,0.2,1494,7,1,0,1
611,568,181,1703,179,0.3,950,3,0,1,0
612,532,1213,1354,193,0.1,728,5,0,0,1
615,1695,1791,1898,200,0.7,446,3,1,1,0
617,1488,1528,1647,112,0.8,3054,5,3,1,0
622,1296,1222,1382,129,0.2,2552,7,2,1,0
623,1848,154,605,179,0.7,3902,2,3,0,1
624,1732,824,881,119,0.8,1308,8,1,0,1
625,1660,440,569,100,0.7,2424,8,2,1,0
628,1559,117,681,114,0.3,2203,8,1,0,1
629,882,248,884,151,0.2,751,6,0,1,0
631,676,864,1011,84,0.2,2064,1,1,1,0
636,1800,400,823,100,0.4,3481,7,3,0,1
637,1413,187,517,117,0.3,3383,5,3,1,0
641,911,461,670,181,0.1,363,5,0,0,1
643,1343,1063,1205,81,0.9,462,8,0,1,0
644,508,1419,1920,162,0.4,2616,6,2,1,0
645,1578,411,1226,138,0.1,2458,4,2,1,0
646,626,90,1334,187,0.5,3458,2,2,1,0
647,651,548,858,176,0.2,2244,5,1,0,1
648,1822,172,910,195,0.2,2577,6,2,1,0
649,1103,990,1486,111,0.7,1837,6,1,1,0
650,857,157,948,195,0.2,3100,7,2,0,1
651,1369,1451,1469,108,0.6,3206,1,3,0,1
652,1807,1221,1415,125,0.2,2921,3,3,0,1
654,1604,641,1156,93,0.6,1464,5,1,0,1
656,1504,395,1853,152,0.3,1788,4,1,1,0
658,539,1123,1709,137,0.2,3948,6,3,1,0
659,950,774,843,156,0.1,1095,5,0,0,1
663,1713,108,1963,199,0.7,1513,6,1,0,1
664,729,563,1055,135,0.6,3397,6,2,0,1
666,1237,18,1004,98,0.8,2528,4,2,0,1
667,1225,10,1567,107,0.1,2423,2,2,1,0
669,1476,1641,1666,171,0.1,1529,4,2,0,1
676,664,701,1478,110,0.1,3629,7,3,0,1
678,1604,134,939,191,1.0,916,8,0,0,1
679,1137,942,1179,196,1.0,3616,3,3,0,1
680,1522,952,1191,124,0.2,1368,1,1,0,1
682,786,507,1697,141,0.5,2390,7,2,1,0
683,709,570,1422,81,0.1,467,8,0,1,0
684,990,1466,1717,153,0.9,2698,2,2,0,1
685,772,552,1802,134,0.6,422,7,0,0,1
686,1965,915,1965,187,0.2,2032,4,2,0,1
687,1133,730,1543,199,0.1,1457,5,1,1,0
688,1225,759,1404,116,0.5,3836,4,3,0,1
691,1701,550,1338,194,0.3,2598,8,2,0,1
693,1512,336,670,145,0.1,869,5,0,1,0
697,1523,247,539,117,0.2,3971,2,3,0,1
698,1523,148,1606,129,0.1,707,1,0,0,1
699,1165,564,831,178,0.2,764,6,0,0,1
702,1923,767,1759,191,0.5,1489,1,1,1,0
708,539,551,599,145,0.1,3597,7,2,0,1
710,1876,546,1564,86,0.3,2513,6,3,1,0
714,1193,674,864,196,0.4,2394,3,2,0,1
718,1405,284,1036,107,0.3,2376,4,2,1,0
719,1645,897,1308,123,0.7,783,7,0,0,1
720,1713,729,974,127,0.9,2406,7,2,1,0
721,772,1314,1854,81,0.8,2819,7,3,1,0
725,1039,497,618,125,0.3,3105,8,2,0,1
726,1265,275,687,90,0.5,1518,1,1,1,0
728,1591,1384,1883,154,0.4,3703,6,3,0,1
729,1095,838,1066,103,0.7,3209,4,3,0,1
730,514,1083,1492,141,0.7,980,2,0,0,1
731,839,564,1391,175,0.4,3835,7,3,1,0
734,1953,555,764,158,0.1,2334,8,2,0,1
735,934,521,1190,182,0.7,703,8,0,1,0
736,1077,334,1079,131,0.6,3454,4,3,0,1
737,578,626,1134,170,0.3,2977,5,2,0,1
738,618,1314,1688,86,0.3,1051,1,0,1,0
740,1884,1168,1179,149,0.5,1396,6,1,1,0
742,843,593,732,119,0.9,1734,7,1,1,0
743,1126,1223,1611,160,0.4,2050,6,2,0,1
744,1178,96,1352,84,0.3,2492,3,2,1,0
745,1634,964,1677,200,0.2,3031,2,3,0,1
747,1982,764,1873,129,0.1,3511,7,3,1,0
748,846,1140,1983,123,0.1,2248,4,2,0,1
750,571,31,1536,101,0.6,555,6,0,0,1
751,1208,691,1028,175,1.0,2201,1,1,1,0
753,548,657,1657,146,0.4,562,4,0,1,0
755,1177,178,882,191,0.4,311,2,0,1,0
756,1349,212,623,134,0.9,2367,6,1,0,1
757,1945,1064,1540,112,0.7,3322,6,3,1,0
763,1832,186,654,90,0.6,2978,7,2,1,0
765,1229,120,1878,191,0.8,1667,2,1,1,0
767,1775,1633,1869,163,0.1,2343,1,3,0,1
768,909,635,973,82,0.3,3187,8,2,0,1
769,1517,802,1489,143,0.6,2822,5,3,1,0
770,741,334,594,178,0.3,1886,5,0,1,0
771,1342,991,1638,86,0.6,2746,7,3,1,0
773,576,757,1518,121,0.1,1519,2,1,1,0
775,950,86,1681,124,0.1,1305,8,0,1,0
776,1225,217,1101,138,0.6,2675,7,2,1,0
777,1561,885,1811,134,0.5,1783,2,2,1,0
778,1768,1303,1814,88,0.8,3256,7,3,0,1
779,1726,379,1223,193,0.6,2239,4,2,0,1
780,570,1331,1917,111,0.3,3663,7,3,0,1
781,1783,1081,1979,104,0.7,387,6,1,1,0
784,1271,1260,1788,161,0.9,892,1,1,1,0
785,668,195,1292,114,0.3,1201,1,0,1,0
786,635,599,1299,110,1.0,2452,7,2,0,1
788,536,547,705,135,0.7,1211,3,0,0,1
789,1723,202,1791,164,1.0,3587,8,3,0,1
791,602,1571,1717,141,0.9,2189,8,2,1,0
792,1996,671,1445,122,0.4,2236,4,2,1,0
793,1986,282,1358,165,0.1,1614,8,1,1,0
795,832,9,1944,165,0.1,3946,5,3,0,1
799,920,209,1078,115,0.4,785,7,0,1,0
800,914,706,721,147,0.7,1122,4,0,0,1
801,609,58,1253,117,0.3,2581,1,1,0,1
803,1436,1826,1836,124,0.9,2736,8,3,1,0
804,1727,1463,1992,85,0.6,2457,7,3,1,0
805,713,1048,1123,94,0.1,928,1,0,1,0
808,1906,3,629,113,0.2,1871,3,1,0,1
810,536,1386,1539,182,0.3,284,7,0,1,0
811,972,681,1050,107,0.7,1900,3,1,0,1
816,571,224,783,141,0.5,2587,3,1,1,0
818,1382,612,719,199,0.3,2073,2,1,0,1
820,994,296,839,164,0.9,3104,2,2,1,0
821,788,42,1161,91,0.9,3969,8,3,1,0
822,936,1330,1686,153,0.2,2391,3,2,1,0
824,1031,532,1247,121,0.1,2385,2,2,0,1
830,1872,286,1484,80,0.5,2295,2,2,0,1
833,896,1379,1469,111,0.3,1060,1,1,1,0
839,561,426,865,99,0.1,2974,7,2,0,1
840,1528,454,1762,129,0.8,1282,5,1,0,1
841,1236,492,1403,143,0.3,942,4,0,0,1
842,1312,1233,1854,163,0.8,1087,2,1,1,0
848,1009,267,1841,115,0.6,2286,7,2,0,1
849,1433,1619,1651,153,0.9,3900,7,3,0,1
851,909,410,1643,146,0.1,1244,3,0,0,1
852,940,499,1090,115,0.7,2192,4,1,1,0
854,672,724,1127,194,0.1,1457,5,0,0,1
855,1980,312,1910,177,0.8,3865,1,3,1,0
857,1203,35,510,109,0.9,1672,2,0,0,1
859,916,1147,1393,82,0.2,1659,4,1,0,1
860,1919,304,1191,150,0.8,1391,4,1,1,0
861,753,606,1316,121,0.1,3484,8,3,0,1
862,1659,819,902,89,0.6,3255,1,3,1,0
863,772,741,1471,100,0.1,929,2,0,1,0
864,1245,330,1434,105,0.7,2676,5,2,0,1
868,1201,306,558,99,1.0,495,7,0,0,1
869,1068,935,1499,194,0.6,1754,5,1,1,0
870,1003,190,1905,119,0.6,1798,8,1,0,1
872,1883,836,1739,146,0.3,2600,6,3,0,1
874,793,15,1196,124,0.3,1050,8,0,0,1
877,1299,46,908,83,0.5,1938,6,1,0,1
880,1368,843,1145,115,0.1,2941,7,3,0,1
881,718,1185,1387,113,0.8,1824,6,1,1,0
882,1786,74,865,123,0.1,3033,3,3,1,0
883,1589,618,940,84,0.4,2373,3,2,1,0
886,1802,453,963,116,0.5,1885,5,2,0,1
892,1512,333,952,131,0.1,3002,1,2,0,1
899,1540,318,831,157,0.1,1161,7,0,1,0
900,989,614,679,156,0.6,2819,8,2,0,1
901,739,1052,1536,88,0.1,475,3,0,0,1
903,1672,1250,1435,172,0.5,1348,8,1,0,1
904,1801,100,1708,120,0.9,258,6,0,1,0
907,535,290,811,113,0.7,740,1,0,1,0
908,775,561,1510,189,0.4,2523,7,2,0,1
911,1325,499,695,146,0.1,2328,1,2,1,0
913,914,191,1495,100,0.8,808,2,0,0,1
914,776,991,1803,146,1.0,685,4,0,0,1
915,987,419,736,83,0.5,2757,3,2,0,1
916,1732,201,656,172,0.3,3940,5,3,1,0
917,1577,1045,1737,197,0.3,2060,5,2,1,0
918,1403,461,1251,164,0.1,3371,5,3,1,0
919,1628,412,643,101,0.9,3361,6,3,1,0
920,1197,649,1629,149,0.5,1797,6,1,1,0
922,831,172,1239,86,0.5,1075,6,0,1,0
923,1044,1230,1263,104,0.7,1794,6,1,1,0
925,1839,475,1493,200,0.5,927,7,1,0,1
926,1554,699,1492,105,0.1,2184,6,2,1,0
927,1018,992,1433,153,0.6,3143,8,3,1,0
928,1837,1420,1539,103,0.9,2294,8,3,1,0
933,1341,473,574,107,0.4,2200,8,1,0,1
936,842,20,756,188,0.6,2549,2,1,1,0
938,553,1287,1892,136,0.7,3300,2,3,0,1
940,831,1482,1490,134,0.7,2573,8,2,0,1
943,1566,1603,1930,126,0.5,659,2,1,0,1
944,1830,460,1583,191,0.9,2334,6,2,1,0
945,1995,649,1104,129,0.2,1322,1,1,0,1
946,543,391,984,192,0.7,2413,5,1,1,0
947,1332,846,855,168,0.8,2790,7,2,1,0
948,1827,55,1020,128,0.5,2844,5,2,1,0
950,814,1092,1406,177,0.8,1944,2,1,0,1
952,1913,675,742,111,0.6,2023,5,2,0,1
953,841,125,675,81,0.3,957,5,0,1,0
954,584,919,1343,199,0.4,3996,4,3,0,1
959,957,1201,1485,107,0.8,1846,5,1,0,1
960,503,778,1291,185,0.6,305,6,0,1,0
962,902,364,1360,122,0.7,3654,5,3,0,1
963,848,7,1294,103,0.1,436,7,0,0,1
966,658,1156,1750,103,0.9,3587,7,3,0,1
968,1565,781,1364,121,0.1,308,5,0,0,1
969,615,1216,1786,131,0.8,2769,6,2,0,1
970,1652,313,1264,89,0.7,2338,4,2,0,1
971,787,806,1423,93,0.6,2934,1,2,0,1
973,1995,1830,1963,139,0.8,1203,6,2,0,1
974,1940,112,858,93,0.7,2297,5,2,0,1
975,1960,868,877,165,0.2,3773,7,3,0,1
977,618,591,724,80,0.1,1424,4,0,0,1
